id,H,T,MWDIR
201709011234.jpg,1.23,6.37,350
201709011334.jpg,1.27,6.3,17
201709012234.jpg,0.93,5.42,34
201709021333.jpg,0.48,3.15,7
201709021434.jpg,0.43,4.33,8
201709021534.jpg,0.45,3.78,202
201709021634.jpg,0.43,4.15,255
201709021834.jpg,0.41,3.95,105
201709021934.jpg,0.36,3.98,80
201709022034.jpg,0.33,3.35,288
201709022134.jpg,0.3,3.65,155
201709031234.jpg,0.42,3.19,297
201709031334.jpg,0.39,3.26,279
201709031434.jpg,0.43,3.11,305
201709031534.jpg,0.41,3.11,329
201709031634.jpg,0.39,2.95,306
201709031734.jpg,0.36,2.88,320
201709031834.jpg,0.4,3.22,326
201709031934.jpg,0.33,3.06,353
201709032034.jpg,0.3,2.96,326
201709032134.jpg,0.31,2.93,5
201709032234.jpg,0.3,2.72,82
201709041234.jpg,0.73,3.17,238
201709041334.jpg,0.74,3.1,231
201709041433.jpg,0.85,3.52,265
201709051234.jpg,1.86,5.62,338
201709051334.jpg,1.82,5.72,360
201709051834.jpg,1.37,5.13,318
201709051934.jpg,1.3,5.28,20
201709052034.jpg,1.27,5.17,358
201709052134.jpg,1.45,5.5,344
201709052234.jpg,1.39,4.9,334
201709061533.jpg,1.33,4.89,342
201709061633.jpg,1.11,5.51,5
201709062034.jpg,1.51,5.59,14
201709062133.jpg,1.44,5.41,348
201709062233.jpg,1.38,4.92,28
201709071234.jpg,1.21,5.47,88
201709071334.jpg,1.27,5.47,12
201709071434.jpg,1.18,5.35,307
201709071834.jpg,0.93,4.47,348
201709072034.jpg,0.69,4.65,9
201709072234.jpg,0.73,5.08,21
201709081234.jpg,0.6,4.11,226
201709081334.jpg,0.52,4.01,126
201709081634.jpg,0.46,4.06,124
201709081934.jpg,0.31,3.89,22
201709082033.jpg,0.4,2.26,34
201709082233.jpg,0.74,3.74,60
201709091234.jpg,0.72,6.34,32
201709091333.jpg,0.72,6.27,291
201709092034.jpg,0.55,5.02,270
201709092133.jpg,0.54,2.74,42
201709092233.jpg,0.6,2.8,38
201709101234.jpg,0.37,2.06,125
201709101334.jpg,0.38,2.16,117
201709101534.jpg,0.38,2.02,125
201709102233.jpg,0.34,2.07,39
201709112033.jpg,0.39,2.04,18
201709112133.jpg,0.43,2.31,24
201709120034.jpg,0.49,2.95,13
201709121434.jpg,0.25,2.19,60
201709121634.jpg,0.34,2.18,31
201709121734.jpg,0.4,2.34,58
201709121834.jpg,0.43,2.51,51
201709122034.jpg,0.6,3.02,34
201709122234.jpg,0.76,3.19,37
201709140034.jpg,0.1,2.88,312
201709140134.jpg,0.08,3.08,353
201709141734.jpg,0.06,2.35,151
201709142034.jpg,0.06,2.07,216
201709142234.jpg,0.08,2.11,183
201709151234.jpg,0.29,2.01,189
201709161233.jpg,0.37,2.07,184
201709161434.jpg,0.29,2.06,188
201709161934.jpg,0.21,2.12,165
201709162034.jpg,0.22,2.09,174
201709170034.jpg,0.18,2.1,149
201709171334.jpg,0.33,2.07,208
201709181233.jpg,0.71,4.52,40
