,id, H, T, MWDIR
0,201704252133.jpg,0.33,2.91,164.0
1,201704261233.jpg,0.41,2.08,183.0
2,201704261433.jpg,0.43,2.18,181.0
5,201704271233.jpg,1.17,3.05,203.0
6,201704271333.jpg,1.38,3.92,254.0
9,201704282133.jpg,0.32,2.01,39.0
10,201704290034.jpg,0.37,2.76,21.0
13,201705011434.jpg,0.71,5.9,318.0
14,201705022033.jpg,1.17,4.6,349.0
15,201705022233.jpg,1.02,4.18,345.0
16,201705032134.jpg,0.48,2.43,31.0
18,201705051233.jpg,1.73,4.85,357.0
19,201705051333.jpg,1.92,5.04,335.0
20,201705051433.jpg,2.15,5.5,332.0
21,201705051533.jpg,2.31,5.53,11.0
23,201705060033.jpg,2.59,7.73,335.0
24,201705061233.jpg,1.31,5.15,325.0
25,201705061333.jpg,1.27,4.17,22.0
26,201705071233.jpg,1.33,6.61,36.0
28,201705071433.jpg,1.36,6.4,2.0
30,201705082233.jpg,0.57,5.02,335.0
31,201705102133.jpg,0.18,2.03,41.0
32,201705111333.jpg,0.47,3.49,44.0
33,201705111433.jpg,0.43,3.46,23.0
36,201705120034.jpg,0.45,2.96,9.0
40,201705122234.jpg,0.37,2.36,18.0
42,201705141333.jpg,0.23,2.32,7.0
43,201705141433.jpg,0.21,2.41,9.0
44,201705141533.jpg,0.21,2.24,327.0
47,201705141833.jpg,0.29,2.3,4.0
48,201705141934.jpg,0.38,2.15,12.0
49,201705142033.jpg,0.42,2.47,17.0
50,201705142234.jpg,0.59,2.95,38.0
51,201705151234.jpg,0.73,2.87,125.0
53,201705151433.jpg,0.58,2.28,139.0
56,201705162033.jpg,0.59,2.68,241.0
58,201705171233.jpg,0.35,2.64,272.0
59,201705171333.jpg,0.41,2.2,185.0
60,201705171433.jpg,0.42,2.47,238.0
61,201705171533.jpg,0.57,2.77,248.0
62,201705180033.jpg,1.58,3.83,230.0
64,201705182133.jpg,0.68,3.71,305.0
65,201705182233.jpg,0.56,3.77,251.0
66,201705201433.jpg,1.02,5.65,203.0
67,201705202233.jpg,0.53,4.39,349.0
68,201705211533.jpg,0.43,2.83,263.0
72,201705212134.jpg,0.58,3.29,281.0
73,201705221333.jpg,0.63,3.34,271.0
75,201705222233.jpg,0.43,2.6,255.0
77,201705241233.jpg,0.92,3.47,19.0
79,201705241433.jpg,1.11,3.82,359.0
81,201705251633.jpg,1.43,5.56,344.0
83,201705252133.jpg,0.98,5.16,291.0
84,201705252233.jpg,0.97,5.13,357.0
85,201705261233.jpg,0.5,5.06,280.0
86,201705261333.jpg,0.46,4.78,275.0
90,201705262133.jpg,0.34,3.92,216.0
92,201705272134.jpg,0.24,2.09,330.0
98,201705291433.jpg,0.33,2.34,253.0
99,201705291833.jpg,0.3,2.09,284.0
101,201705292033.jpg,0.61,3.27,270.0
103,201705292233.jpg,0.71,3.69,290.0
104,201705300033.jpg,0.64,3.99,288.0
105,201705301433.jpg,0.26,2.12,263.0
106,201705301633.jpg,0.3,2.07,264.0
108,201705302133.jpg,0.39,3.08,282.0
109,201705302233.jpg,0.39,3.19,305.0
111,201705311933.jpg,0.12,2.14,317.0
112,201705312033.jpg,0.13,2.67,262.0
113,201705312133.jpg,0.12,2.71,258.0
114,201705312233.jpg,0.13,2.87,270.0
115,201706011433.jpg,0.12,2.1,321.0
118,201706022133.jpg,0.11,2.21,342.0
119,201706041233.jpg,0.15,2.23,258.0
120,201706042033.jpg,0.18,2.04,325.0
122,201706051633.jpg,0.78,3.04,22.0
123,201706061233.jpg,0.96,5.34,326.0
124,201706061333.jpg,0.94,5.11,32.0
125,201706061433.jpg,0.84,4.84,5.0
126,201706070033.jpg,0.94,4.75,23.0
127,201706071333.jpg,0.78,4.87,43.0
128,201706071433.jpg,0.71,4.29,267.0
131,201706081433.jpg,0.22,3.45,45.0
