id, H, T, MWDIR
201704252133.jpg,0.33,2.91,164.00
201704261233.jpg,0.41,2.08,183.00
201704261433.jpg,0.43,2.18,181.00
201704261934.jpg,0.64,3.40,249.00
201704262033.jpg,0.57,3.57,243.00
201704271233.jpg,1.17,3.05,203.00
201704271333.jpg,1.38,3.92,254.00
201704271533.jpg,1.66,4.42,274.00
201704271933.jpg,1.37,4.37,261.00
201704282133.jpg,0.32,2.01,39.00
201704290034.jpg,0.37,2.76,21.00
201704291333.jpg,1.33,4.89,-1.00
201704291633.jpg,1.78,4.95,8.00
201705011434.jpg,0.71,5.90,318.00
201705022033.jpg,1.17,4.60,349.00
201705022233.jpg,1.02,4.18,345.00
201705032134.jpg,0.48,2.43,31.00
201705040033.jpg,0.49,2.97,67.00
201705051233.jpg,1.73,4.85,357.00
201705051333.jpg,1.92,5.04,335.00
201705051433.jpg,2.15,5.50,332.00
201705051533.jpg,2.31,5.53,11.00
201705051633.jpg,2.58,5.95,6.00
201705060033.jpg,2.59,7.73,335.00
201705061233.jpg,1.31,5.15,325.00
201705061333.jpg,1.27,4.17,22.00
201705071233.jpg,1.33,6.61,36.00
201705071333.jpg,1.33,6.64,10.00
201705071433.jpg,1.36,6.40,2.00
201705081333.jpg,0.85,4.66,14.00
201705082233.jpg,0.57,5.02,335.00
201705102133.jpg,0.18,2.03,41.00
201705111333.jpg,0.47,3.49,44.00
201705111433.jpg,0.43,3.46,23.00
201705111633.jpg,0.61,3.31,36.00
201705112233.jpg,0.44,2.82,22.00
201705120034.jpg,0.45,2.96,9.00
201705121233.jpg,0.22,3.03,25.00
201705121333.jpg,0.21,2.89,33.00
201705121433.jpg,0.18,2.74,19.00
201705122234.jpg,0.37,2.36,18.00
201705130034.jpg,0.32,2.75,14.00
201705141333.jpg,0.23,2.32,7.00
201705141433.jpg,0.21,2.41,9.00
201705141533.jpg,0.21,2.24,327.00
201705141634.jpg,0.26,2.04,330.00
201705141734.jpg,0.27,2.32,354.00
201705141833.jpg,0.29,2.30,4.00
201705141934.jpg,0.38,2.15,12.00
201705142033.jpg,0.42,2.47,17.00
201705142234.jpg,0.59,2.95,38.00
201705151234.jpg,0.73,2.87,125.00
201705151334.jpg,0.61,2.63,132.00
201705151433.jpg,0.58,2.28,139.00
201705151533.jpg,0.45,2.28,147.00
201705151633.jpg,0.36,2.12,154.00
201705162033.jpg,0.59,2.68,241.00
201705162233.jpg,0.85,3.35,251.00
201705171233.jpg,0.35,2.64,272.00
201705171333.jpg,0.41,2.20,185.00
201705171433.jpg,0.42,2.47,238.00
201705171533.jpg,0.57,2.77,248.00
201705180033.jpg,1.58,3.83,230.00
201705181933.jpg,0.68,3.99,273.00
201705182133.jpg,0.68,3.71,305.00
201705182233.jpg,0.56,3.77,251.00
201705201433.jpg,1.02,5.65,203.00
201705202233.jpg,0.53,4.39,349.00
201705211533.jpg,0.43,2.83,263.00
201705211833.jpg,0.54,3.11,281.00
201705211933.jpg,0.60,3.10,260.00
201705212033.jpg,0.61,3.33,264.00
201705212134.jpg,0.58,3.29,281.00
201705221333.jpg,0.63,3.34,271.00
201705222133.jpg,0.34,2.47,269.00
201705222233.jpg,0.43,2.60,255.00
201705231933.jpg,0.15,2.48,277.00
201705241233.jpg,0.92,3.47,19.00
201705241333.jpg,1.08,3.62,42.00
201705241433.jpg,1.11,3.82,359.00
201705241533.jpg,1.00,3.93,32.00
201705251633.jpg,1.43,5.56,344.00
201705252033.jpg,1.18,4.63,17.00
201705252133.jpg,0.98,5.16,291.00
201705252233.jpg,0.97,5.13,357.00
201705261233.jpg,0.50,5.06,280.00
201705261333.jpg,0.46,4.78,275.00
201705261633.jpg,0.42,4.83,197.00
201705261933.jpg,0.33,4.33,168.00
201705262033.jpg,0.33,3.85,47.00
201705262133.jpg,0.34,3.92,216.00
201705272033.jpg,0.27,2.08,341.00
201705272134.jpg,0.24,2.09,330.00
201705272233.jpg,0.22,2.01,27.00
201705280033.jpg,0.18,2.06,6.00
201705281233.jpg,0.11,2.56,328.00
201705282133.jpg,0.25,2.59,26.00
201705282233.jpg,0.25,2.66,5.00
201705291433.jpg,0.33,2.34,253.00
201705291833.jpg,0.30,2.09,284.00
201705291933.jpg,0.51,2.83,244.00
201705292033.jpg,0.61,3.27,270.00
201705292133.jpg,0.67,3.62,284.00
201705292233.jpg,0.71,3.69,290.00
201705300033.jpg,0.64,3.99,288.00
201705301433.jpg,0.26,2.12,263.00
201705301633.jpg,0.30,2.07,264.00
201705301733.jpg,0.31,2.28,261.00
201705302133.jpg,0.39,3.08,282.00
201705302233.jpg,0.39,3.19,305.00
201705310033.jpg,0.35,3.27,283.00
201705311933.jpg,0.12,2.14,317.00
201705312033.jpg,0.13,2.67,262.00
201705312133.jpg,0.12,2.71,258.00
201705312233.jpg,0.13,2.87,270.00
201706011433.jpg,0.12,2.10,321.00
201706011933.jpg,0.16,2.07,291.00
201706012033.jpg,0.15,2.17,301.00
201706022133.jpg,0.11,2.21,342.00
201706041233.jpg,0.15,2.23,258.00
201706042033.jpg,0.18,2.04,325.00
201706051533.jpg,0.41,2.17,27.00
201706051633.jpg,0.78,3.04,22.00
201706061233.jpg,0.96,5.34,326.00
201706061333.jpg,0.94,5.11,32.00
201706061433.jpg,0.84,4.84,5.00
201706070033.jpg,0.94,4.75,23.00
201706071333.jpg,0.78,4.87,43.00
201706071433.jpg,0.71,4.29,267.00
201706080033.jpg,0.63,3.54,9.00
201706081333.jpg,0.24,3.20,35.00
201706081433.jpg,0.22,3.45,45.00
201706081633.jpg,0.19,3.20,41.00
201706081734.jpg,0.16,2.90,42.00
201706081835.jpg,0.15,3.04,46.00
201706081934.jpg,0.13,2.94,12.00
201706082034.jpg,0.12,2.92,32.00
201706082134.jpg,0.11,2.82,42.00
201706082233.jpg,0.11,2.52,82.00
201706091234.jpg,0.41,2.31,235.00
201706091334.jpg,0.43,2.64,248.00
201706091434.jpg,0.39,2.75,248.00
201706092135.jpg,0.20,2.16,43.00
201706092234.jpg,0.28,2.12,52.00
201706101234.jpg,0.38,2.23,228.00
201706111234.jpg,0.62,2.91,246.00
201706111333.jpg,0.58,2.99,250.00
201706111434.jpg,0.58,2.83,236.00
201706111534.jpg,0.48,3.06,244.00
201706112234.jpg,0.45,2.93,242.00
201706121234.jpg,0.48,2.55,255.00
201706131233.jpg,0.30,3.49,334.00
201706131333.jpg,0.31,3.69,350.00
201706131433.jpg,0.29,3.92,326.00
201706131534.jpg,0.29,4.07,355.00
201706131734.jpg,0.35,2.91,356.00
201706131935.jpg,0.27,2.13,43.00
201706132034.jpg,0.25,2.05,16.00
201706141234.jpg,0.24,3.41,6.00
201706141334.jpg,0.23,2.29,180.00
201706151234.jpg,0.18,2.42,297.00
201706151334.jpg,0.29,2.09,221.00
201706161334.jpg,0.68,3.31,265.00
201706161634.jpg,0.52,3.77,304.00
201706171935.jpg,0.33,2.47,240.00
201706172135.jpg,0.26,2.66,271.00
201706181334.jpg,0.61,3.29,271.00
201706181634.jpg,0.48,2.83,272.00
201706181934.jpg,0.59,3.35,309.00
201706191234.jpg,0.37,2.39,255.00
201706191334.jpg,0.37,2.36,265.00
201706191835.jpg,0.21,3.12,354.00
201706192034.jpg,0.19,3.35,360.00
201706201234.jpg,0.61,3.32,286.00
201706201334.jpg,0.55,3.25,274.00
201706212034.jpg,0.32,2.33,31.00
201706212134.jpg,0.31,2.32,37.00
201706212234.jpg,0.33,2.19,47.00
201706220034.jpg,0.33,2.50,71.00
201706221234.jpg,0.42,3.05,268.00
201706221434.jpg,0.47,2.74,259.00
201706231434.jpg,0.53,2.87,323.00
201706231534.jpg,0.44,2.83,330.00
201706231634.jpg,0.49,2.72,336.00
201706231834.jpg,0.39,2.58,315.00
201706232134.jpg,0.27,3.15,350.00
201706232234.jpg,0.24,3.40,360.00
201706241234.jpg,1.00,4.11,339.00
201706241334.jpg,0.89,4.34,334.00
201706241434.jpg,0.89,4.23,356.00
201706241934.jpg,0.60,4.56,2.00
201706242034.jpg,0.64,4.62,42.00
201706242234.jpg,0.55,3.95,343.00
201706251234.jpg,1.23,4.90,0.00
201706251334.jpg,1.14,4.56,305.00
201706261234.jpg,0.88,4.02,331.00
201706261334.jpg,0.90,3.71,311.00
201706261734.jpg,0.51,4.09,41.00
201706261834.jpg,0.44,3.79,334.00
201706271234.jpg,0.68,4.94,321.00
201706271334.jpg,0.61,4.72,29.00
201706271434.jpg,0.58,4.69,258.00
201706271934.jpg,0.37,3.89,323.00
201706272234.jpg,0.23,3.32,1.00
201706280034.jpg,0.21,2.82,108.00
201706281234.jpg,0.49,2.32,196.00
201706290034.jpg,1.07,3.23,225.00
201706291234.jpg,0.48,2.91,241.00
201706291334.jpg,0.45,2.58,244.00
201706291534.jpg,0.51,2.98,250.00
201706291734.jpg,0.60,3.26,267.00
201706301234.jpg,0.25,2.03,236.00
201707011434.jpg,0.37,2.28,304.00
201707011534.jpg,0.31,2.53,330.00
201707011634.jpg,0.27,2.60,302.00
201707011934.jpg,0.23,2.49,62.00
201707012134.jpg,0.19,2.11,111.00
201707012234.jpg,0.17,2.00,166.00
201707021434.jpg,0.32,2.57,281.00
201707021634.jpg,0.22,2.30,282.00
201707021734.jpg,0.23,2.38,297.00
201707021834.jpg,0.24,2.20,142.00
201707021934.jpg,0.22,2.30,287.00
201707022134.jpg,0.23,2.16,190.00
201707030134.jpg,0.52,2.61,132.00
201707031734.jpg,0.23,2.02,8.00
201707032134.jpg,0.41,2.29,15.00
201707032234.jpg,0.60,2.46,38.00
201707041234.jpg,0.51,4.24,313.00
201707041334.jpg,0.48,3.97,43.00
201707041434.jpg,0.47,3.80,7.00
201707041534.jpg,0.44,4.02,74.00
201707041834.jpg,0.30,3.68,359.00
201707042234.jpg,0.35,2.05,26.00
201707050034.jpg,0.35,2.31,355.00
201707050134.jpg,0.34,3.08,0.00
201707052234.jpg,0.12,2.64,327.00
201707061734.jpg,0.10,2.16,149.00
201707062034.jpg,0.12,2.05,70.00
